import time: self [us] | cumulative | imported package
import time:       148 |        148 |   _io
import time:        24 |         24 |   marshal
import time:       153 |        153 |   posix
import time:       506 |        829 | _frozen_importlib_external
import time:       586 |        586 |   time
import time:       188 |        774 | zipimport
import time:        29 |         29 |     _codecs
import time:       371 |        399 |   codecs
import time:       330 |        330 |   encodings.aliases
import time:       500 |       1228 | encodings
import time:       141 |        141 | encodings.utf_8
import time:        50 |         50 | _signal
import time:        25 |         25 |       _abc
import time:       110 |        134 |     abc
import time:        28 |         28 |       _stat
import time:        75 |        102 |     stat
import time:       592 |        592 |     _collections_abc
import time:        31 |         31 |       errno
import time:        58 |         58 |       genericpath
import time:       101 |        189 |     posixpath
import time:       422 |       1437 |   os
import time:        58 |         58 |   _sitebuiltins
import time:       161 |        161 |   encodings.utf_8_sig
import time:       525 |        525 |   _distutils_hack
import time:        25 |         25 |           _types
import time:       184 |        208 |         types
import time:      1486 |       1694 |       enum
import time:        44 |         44 |         _sre
import time:       193 |        193 |           re._constants
import time:       259 |        452 |         re._parser
import time:       100 |        100 |         re._casefix
import time:       913 |       1507 |       re._compiler
import time:        64 |         64 |           itertools
import time:        90 |         90 |           keyword
import time:        42 |         42 |             _operator
import time:       188 |        230 |           operator
import time:       127 |        127 |           reprlib
import time:        36 |         36 |           _collections
import time:       534 |       1078 |         collections
import time:        35 |         35 |         _functools
import time:       396 |       1509 |       functools
import time:       124 |        124 |       copyreg
import time:       369 |       5201 |     re
import time:       514 |       5714 |   sitecustomize
import time:       933 |       8825 | site
import time:       217 |        217 | linecache
import time:       394 |        394 |   starlette
import time:       129 |        129 |     __future__
import time:        17 |         17 |         _contextvars
import time:       254 |        270 |       _py_warnings
import time:       126 |        395 |     warnings
import time:       478 |       1001 |   starlette.status
import time:        19 |         19 |       _typing
import time:      1381 |       1400 |     typing
import time:       674 |        674 |       annotated_doc.main
import time:       422 |       1096 |     annotated_doc
import time:       464 |        464 |       contextlib
import time:       134 |        134 |         email
import time:       416 |        416 |         binascii
import time:       132 |        132 |         quopri
import time:       646 |        646 |         io
import time:        28 |         28 |             _datetime
import time:       116 |        144 |           datetime
import time:       102 |        102 |             urllib
import time:       486 |        486 |             math
import time:       738 |        738 |             ipaddress
import time:       687 |       2012 |           urllib.parse
import time:       175 |        175 |           email._parseaddr
import time:       297 |       2626 |         email.utils
import time:       681 |        681 |         email.errors
import time:        19 |         19 |                 _string
import time:       195 |        214 |               string
import time:       164 |        377 |             email.quoprimime
import time:       385 |        385 |                   _struct
import time:       100 |        484 |                 struct
import time:       178 |        662 |               base64
import time:        88 |        749 |             email.base64mime
import time:        80 |         80 |               email.encoders
import time:       139 |        218 |             email.charset
import time:       374 |       1718 |           email.header
import time:       228 |       1946 |         email._policybase
import time:       155 |        155 |         email._encoded_words
import time:        84 |         84 |         email.iterators
import time:       433 |       7248 |       email.message
import time:       765 |        765 |             _ast
import time:       271 |       1035 |           ast
import time:       362 |       1397 |         annotationlib
import time:        21 |         21 |             _opcode
import time:       154 |        154 |             _opcode_metadata
import time:       240 |        413 |           opcode
import time:       600 |       1013 |         dis
import time:       126 |        126 |           importlib
import time:        45 |        171 |         importlib.machinery
import time:       129 |        129 |           token
import time:        18 |         18 |           _tokenize
import time:       505 |        652 |         tokenize
import time:       139 |        139 |           _weakrefset
import time:       274 |        412 |         weakref
import time:      1148 |       4790 |       inspect
import time:       352 |        352 |             _json
import time:       205 |        557 |           json.scanner
import time:       297 |        854 |         json.decoder
import time:       243 |        243 |         json.encoder
import time:       151 |       1247 |       json
import time:       436 |        436 |           anyio._core
import time:       674 |       1110 |         anyio._core._contextmanagers
import time:       450 |        450 |           threading
import time:       573 |        573 |           contextvars
import time:       705 |        705 |             textwrap
import time:       809 |       1513 |           anyio._core._exceptions
import time:       344 |        344 |             sniffio._version
import time:      1445 |       1445 |             sniffio._impl
import time:       500 |       2288 |           sniffio
import time:       404 |       5227 |         anyio._core._eventloop
import time:        57 |         57 |               _winapi
import time:        50 |         50 |               nt
import time:        46 |         46 |               nt
import time:        44 |         44 |               nt
import time:        43 |         43 |               nt
import time:        42 |         42 |               nt
import time:        41 |         41 |               nt
import time:        42 |         42 |               nt
import time:       192 |        553 |             ntpath
import time:       199 |        199 |               fnmatch
import time:       417 |        616 |             glob
import time:        35 |         35 |             pwd
import time:       481 |        481 |             grp
import time:       393 |        393 |               fcntl
import time:        54 |         54 |               _winapi
import time:       325 |        771 |             pathlib._os
import time:       495 |       2949 |           pathlib
import time:       179 |        179 |             copy
import time:       516 |        695 |           dataclasses
import time:       441 |        441 |                 signal
import time:       924 |        924 |                   _socket
import time:      1140 |       2064 |                 socket
import time:      1027 |       3532 |               anyio.abc._eventloop
import time:       391 |        391 |               anyio.abc._resources
import time:       416 |        416 |                 anyio._core._typedattr
import time:       551 |        551 |                   anyio.abc._tasks
