import time: self [us] | cumulative | imported package
import time:       200 |        200 |   _io
import time:        30 |         30 |   marshal
import time:       183 |        183 |   posix
import time:       675 |       1086 | _frozen_importlib_external
import time:       505 |        505 |   time
import time:       181 |        686 | zipimport
import time:        34 |         34 |     _codecs
import time:       411 |        444 |   codecs
import time:       969 |        969 |   encodings.aliases
import time:      1610 |       3023 | encodings
import time:       299 |        299 | encodings.utf_8
import time:        56 |         56 | _signal
import time:        21 |         21 |       _abc
import time:       119 |        139 |     abc
import time:        30 |         30 |       _stat
import time:        71 |        100 |     stat
import time:       638 |        638 |     _collections_abc
import time:        33 |         33 |       errno
import time:        62 |         62 |       genericpath
import time:       107 |        202 |     posixpath
import time:       396 |       1473 |   os
import time:        60 |         60 |   _sitebuiltins
import time:       399 |        399 |   encodings.utf_8_sig
import time:      1541 |       1541 |   _distutils_hack
import time:        24 |         24 |           _types
import time:       571 |        594 |         types
import time:      1079 |       1673 |       enum
import time:        58 |         58 |         _sre
import time:       544 |        544 |           re._constants
import time:      1340 |       1883 |         re._parser
import time:       242 |        242 |         re._casefix
import time:       853 |       3035 |       re._compiler
import time:        86 |         86 |           itertools
import time:       294 |        294 |           keyword
import time:        50 |         50 |             _operator
import time:       911 |        961 |           operator
import time:       268 |        268 |           reprlib
import time:        40 |         40 |           _collections
import time:       975 |       2621 |         collections
import time:        40 |         40 |         _functools
import time:       729 |       3389 |       functools
import time:       245 |        245 |       copyreg
import time:       544 |       8884 |     re
import time:       783 |       9666 |   sitecustomize
import time:      1497 |      14635 | site
import time:       350 |        350 |     __future__
import time:       189 |        189 |           concurrent
import time:       143 |        143 |               io
import time:       270 |        270 |                 linecache
import time:       624 |        624 |                 textwrap
import time:        19 |         19 |                     _contextvars
import time:       384 |        402 |                   _py_warnings
import time:       256 |        657 |                 warnings
import time:       267 |        267 |                 codeop
import time:       300 |        300 |                   token
import time:        24 |         24 |                   _tokenize
import time:       933 |       1256 |                 tokenize
import time:       694 |        694 |                         _weakrefset
import time:       618 |       1312 |                       weakref
import time:       797 |       2108 |                     copy
