onet_soc_code,canonical_title,description,matched_target_families,top_skills,top_technology_examples
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,judgment and decision making (4.75) | complex problem solving (4.38) | critical thinking (4.38) | coordination (4.25) | management of financial resources (4.25) | management of personnel resources (4.25) | speaking (4.25) | systems evaluation (4.25) | negotiation (4.12) | reading comprehension (4.12) | social perceptiveness (4.12) | systems analysis (4.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | adobe acrobat | atlassian jira | extensible markup language xml | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft word | oracle peoplesoft | php | sap software
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",,critical thinking (4.12) | writing (4.12) | active listening (4.00) | complex problem solving (4.00) | reading comprehension (4.00) | speaking (4.00) | judgment and decision making (3.88) | persuasion (3.88) | social perceptiveness (3.88) | systems analysis (3.88) | systems evaluation (3.88) | active learning (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | adobe acrobat | adobe photoshop | facebook | microsoft access | microsoft project | microsoft sharepoint | microsoft word | salesforce software | sap software | tableau | email software
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,active listening (4.00) | monitoring (4.00) | reading comprehension (4.00) | speaking (4.00) | coordination (3.88) | critical thinking (3.88) | management of personnel resources (3.75) | social perceptiveness (3.75) | active learning (3.62) | complex problem solving (3.62) | judgment and decision making (3.62) | persuasion (3.62),microsoft excel | microsoft office software | microsoft powerpoint | adobe acrobat | adobe creative cloud software | adobe photoshop | amazon web services aws software | apache hadoop | apple macos | atlassian confluence | atlassian jira | autodesk autocad | extensible markup language xml | facebook | google analytics
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,adobe acrobat | cisco webex | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft sharepoint | microsoft sql server | microsoft visual basic | microsoft word | structured query language sql | adobe framemaker | antenna house | apple iwork keynote | apple iwork pages
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,active listening (4.12) | critical thinking (4.00) | social perceptiveness (4.00) | speaking (4.00) | judgment and decision making (3.75) | reading comprehension (3.75) | writing (3.75) | complex problem solving (3.50) | coordination (3.50) | time management (3.50) | persuasion (3.38) | active learning (3.25),google analytics | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | extensible markup language xml | facebook | hubspot software
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",,active learning (3.88) | active listening (3.88) | critical thinking (3.88) | reading comprehension (3.88) | social perceptiveness (3.88) | speaking (3.88) | judgment and decision making (3.75) | monitoring (3.75) | persuasion (3.75) | complex problem solving (3.62) | negotiation (3.62) | coordination (3.50),atlassian jira | microsoft excel | microsoft office software | microsoft powerpoint | salesforce software | structured query language sql | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | amazon redshift | amazon web services aws software | apache cassandra
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,active listening (4.00) | negotiation (4.00) | speaking (4.00) | critical thinking (3.88) | judgment and decision making (3.88) | management of personnel resources (3.88) | monitoring (3.88) | persuasion (3.88) | reading comprehension (3.88) | social perceptiveness (3.88) | active learning (3.75) | complex problem solving (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe creative cloud software | bentley microstation | eclipse ide | facebook | google analytics | google docs | hubspot software | hypertext markup language html | ibm spss statistics
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | canva | facebook | google analytics | google docs
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,critical thinking (4.12) | speaking (4.12) | active listening (4.00) | persuasion (4.00) | social perceptiveness (4.00) | reading comprehension (3.88) | writing (3.88) | coordination (3.75) | judgment and decision making (3.75) | complex problem solving (3.62) | time management (3.50) | active learning (3.38),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | facebook | google analytics | google docs
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",,active listening (4.00) | reading comprehension (4.00) | time management (4.00) | speaking (3.88) | coordination (3.75) | critical thinking (3.75) | writing (3.75) | negotiation (3.62) | management of personnel resources (3.38) | monitoring (3.38) | complex problem solving (3.25) | judgment and decision making (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | atlassian jira | autodesk autocad | google docs | ibm spss statistics | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft visio
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,speaking (3.88) | active listening (3.75) | critical thinking (3.75) | monitoring (3.75) | reading comprehension (3.75) | coordination (3.62) | social perceptiveness (3.62) | judgment and decision making (3.50) | management of personnel resources (3.50) | complex problem solving (3.38) | time management (3.38) | instructing (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | autodesk autocad | autodesk revit | google docs | google workspace software | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft visio
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",,critical thinking (4.25) | active listening (4.12) | judgment and decision making (4.12) | reading comprehension (4.12) | complex problem solving (4.00) | monitoring (4.00) | social perceptiveness (4.00) | speaking (4.00) | coordination (3.88) | management of personnel resources (3.75) | writing (3.75) | active learning (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | amazon web services aws software | facebook | microsoft access | microsoft azure software | microsoft project | microsoft visio | microsoft word | oracle peoplesoft | alarm system software | corel wordperfect office suite
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,critical thinking (4.12) | active listening (4.00) | reading comprehension (4.00) | judgment and decision making (3.88) | monitoring (3.88) | speaking (3.88) | complex problem solving (3.75) | coordination (3.75) | writing (3.75) | management of personnel resources (3.62) | social perceptiveness (3.62) | systems analysis (3.62),amazon web services aws software | microsoft azure software | apache cassandra | apache hadoop | apache maven | apache tomcat | apple macos | atlassian jira | c | c# | c++ | eclipse ide | extensible markup language xml | google analytics | hypertext markup language html
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",,active listening (4.00) | critical thinking (4.00) | reading comprehension (4.00) | speaking (4.00) | monitoring (3.75) | writing (3.75) | complex problem solving (3.62) | coordination (3.62) | judgment and decision making (3.62) | management of personnel resources (3.62) | service orientation (3.62) | social perceptiveness (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | adobe acrobat | alteryx software | ibm spss statistics | intuit quickbooks | marketo marketing automation | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio
