onet_soc_code,canonical_title,normalized_canonical_title,matched_target_families,alternate_title_count,skill_count,technology_example_count,sample_alternate_titles,sample_top_skills,sample_top_technology_examples
11-1011.00,Chief Executives,chief executives,,75,12,15,Aeronautics Commission Director | Agency Owner | Agricultural Services Director | Arts and Humanities Council Director | Bank President | Bureau Chief | Business Development Executive (BD Executive) | Business Development Officer (BD Officer),judgment and decision making | complex problem solving | critical thinking | coordination | management of financial resources | management of personnel resources | speaking | systems evaluation,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | adobe acrobat | atlassian jira | extensible markup language xml | intuit quickbooks
11-1011.03,Chief Sustainability Officers,chief sustainability officers,,25,12,15,"CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President) | Chief Environmental Commitment Officer (CECO) | Chief Green Officer (CGO) | Chief Sustainability Officer (CSO) | Climate Change and Sustainability Manager | Corporate Sustainability Manager | Corporate Sustainability Process Manager | ESG Manager (Environmental, Social, and Corporate Governance Manager)",critical thinking | writing | active listening | complex problem solving | reading comprehension | speaking | judgment and decision making | persuasion,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | adobe acrobat | adobe photoshop | facebook | microsoft access
11-1021.00,General and Operations Managers,general and operations managers,,74,12,15,Area Manager | Boards and Commissions Director | Business Coordinator | Business Manager | Center Manager | Chief Administrative Officer (CAO) | Corporate Manager | Department Manager,active listening | monitoring | reading comprehension | speaking | coordination | critical thinking | management of personnel resources | social perceptiveness,microsoft excel | microsoft office software | microsoft powerpoint | adobe acrobat | adobe creative cloud software | adobe photoshop | amazon web services aws software | apache hadoop
11-1031.00,Legislators,legislators,,26,0,15,Alderman | Assembly Member | Assembly Person | Assemblyman | Assemblywoman | City Alderman | City Council Member | City Councilman,,adobe acrobat | cisco webex | microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft sharepoint | microsoft sql server
11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,,47,12,15,Account Director | Account Executive | Account Manager | Account Specialist | Advertising Account Executive (Ad Account Executive) | Advertising Account Manager (Ad Account Manager) | Advertising Agency Manager (Ad Agency Manager) | Advertising Campaign Manager (Ad Campaign Manager),active listening | critical thinking | social perceptiveness | speaking | judgment and decision making | reading comprehension | writing | complex problem solving,google analytics | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe after effects
11-2021.00,Marketing Managers,marketing managers,,40,12,15,Account Supervisor | Brand Manager | Business Developer | Business Development Director | Business Development Manager | Category Manager | Channel Manager | Commercial Director,active learning | active listening | critical thinking | reading comprehension | social perceptiveness | speaking | judgment and decision making | monitoring,atlassian jira | microsoft excel | microsoft office software | microsoft powerpoint | salesforce software | structured query language sql | adobe acrobat | adobe after effects
11-2022.00,Sales Managers,sales managers,,49,12,15,Account Manager | Area Sales Manager | Area Supervisor | BD Director (Business Development Director) | BD Executive (Business Development Executive) | BD Manager (Business Development Manager) | Business Developer | Channel Manager,active listening | negotiation | speaking | critical thinking | judgment and decision making | management of personnel resources | monitoring | persuasion,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe creative cloud software | bentley microstation
11-2032.00,Public Relations Managers,public relations managers,,24,0,15,Business Development Director | Campaign Manager | Communications Director | Communications Manager | Community Director | Community Engagement Manager | Community Manager | Community Relations Director,,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software
11-2033.00,Fundraising Managers,fundraising managers,,27,12,15,Account Manager | Account Supervisor | Advancement Director | Annual Giving Director | Campaign Manager | Canvass Director | Community Manager | Development Director,critical thinking | speaking | active listening | persuasion | social perceptiveness | reading comprehension | writing | coordination,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | salesforce software | adobe acrobat | adobe after effects
11-3012.00,Administrative Services Managers,administrative services managers,,17,12,15,Administration Director | Administrative Coordinator | Administrative Director | Administrative Manager | Administrative Officer | Administrative Services Manager | Administrator | Business Administrator,active listening | reading comprehension | time management | speaking | coordination | critical thinking | writing | negotiation,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | atlassian jira | autodesk autocad
11-3013.00,Facilities Managers,facilities managers,,29,12,15,Building Maintenance Superintendent | Building Manager | Building Services Supervisor | Conference Center Manager | Facilities Coordinator | Facilities Director | Facilities Electrical Engineer | Facilities Engineer,speaking | active listening | critical thinking | monitoring | reading comprehension | coordination | social perceptiveness | judgment and decision making,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | autodesk autocad | autodesk revit
11-3013.01,Security Managers,security managers,,38,12,15,Chief Security Officer (CSO) | Cloud Security Manager | Corporate Physical Security Supervisor | Corporate Security Director | Corporate Security Manager | Global Security Manager | IS Security Manager (Information Systems Security Manager) | Industrial Security Specialist,critical thinking | active listening | judgment and decision making | reading comprehension | complex problem solving | monitoring | social perceptiveness | speaking,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | amazon web services aws software | facebook | microsoft access
11-3021.00,Computer and Information Systems Managers,computer and information systems managers,,58,12,15,Application Development Director | Chief Information Security Officer (CISO) | Computer Operations Manager | Computer Programming Manager | Computer Security Manager | Computer Systems Information Director | Computer and Information Systems Manager | Computing Services Director,critical thinking | active listening | reading comprehension | judgment and decision making | monitoring | speaking | complex problem solving | coordination,amazon web services aws software | microsoft azure software | apache cassandra | apache hadoop | apache maven | apache tomcat | apple macos | atlassian jira
11-3031.00,Financial Managers,financial managers,,59,12,15,ATM Manager (Automated Teller Machine Manager) | Accountant Supervisor | Accounting Director | Accounting Manager | Accounting Supervisor | Accounts Manager | Accounts Payable Manager | Accounts Supervisor,active listening | critical thinking | reading comprehension | speaking | monitoring | writing | complex problem solving | coordination,microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | adobe acrobat | alteryx software | ibm spss statistics
11-3031.01,Treasurers and Controllers,treasurers and controllers,,23,12,15,City Comptroller | City Controller | City Treasurer | Comptroller | Controller | Corporate Controller | Corporate Treasurer | Cost Controller,complex problem solving | critical thinking | judgment and decision making | reading comprehension | management of financial resources | speaking | active listening | monitoring,intuit quickbooks | microsoft excel | microsoft office software | microsoft powerpoint | sap software | hypertext markup language html | microsoft access | microsoft outlook
