onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,computers and electronics (3.82) | mathematics (3.60) | engineering and technology (3.05) | telecommunications (2.59),microsoft excel | adobe acrobat | atlassian jira | extensible markup language xml | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | oracle peoplesoft | php | sap software | structured query language sql | adsense tracker | blackbaud the raiser s edge | computerease construction accounting software
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",,mathematics (3.00) | engineering and technology (2.96) | computers and electronics (2.93) | telecommunications (1.89),microsoft excel | adobe acrobat | adobe photoshop | facebook | microsoft access | microsoft project | microsoft sharepoint | salesforce software | sap software | tableau | email software | management information systems mis | microsoft dynamics gp | scheduling software | structure query language sql
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,mathematics (3.53) | engineering and technology (2.90) | computers and electronics (2.67) | telecommunications (1.85),microsoft excel | adobe acrobat | adobe creative cloud software | adobe photoshop | amazon web services aws software | apache hadoop | apple macos | atlassian confluence | atlassian jira | autodesk autocad | extensible markup language xml | facebook | google analytics | google docs | hubspot software
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,adobe acrobat | cisco webex | microsoft access | microsoft excel | microsoft sharepoint | microsoft sql server | microsoft visual basic | structured query language sql | adobe framemaker | antenna house | apple iwork keynote | apple iwork pages | apple numbers for mac | cisco anyconnect | corel wordperfect office suite
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,computers and electronics (3.31) | mathematics (3.16) | telecommunications (2.40) | engineering and technology (1.91),google analytics | microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | extensible markup language xml | facebook | hubspot software | hypertext markup language html | javascript | marketo marketing automation
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",,computers and electronics (3.51) | mathematics (3.51) | telecommunications (2.86) | engineering and technology (2.77),atlassian jira | microsoft excel | salesforce software | structured query language sql | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | amazon redshift | amazon web services aws software | apache cassandra | apache hadoop | apache hive
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,computers and electronics (3.20) | mathematics (2.85) | engineering and technology (2.16) | telecommunications (2.05),microsoft excel | salesforce software | adobe acrobat | adobe creative cloud software | bentley microstation | eclipse ide | facebook | google analytics | google docs | hubspot software | hypertext markup language html | ibm spss statistics | marketo marketing automation | microsoft access | microsoft azure software
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,,microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | canva | facebook | google analytics | google docs | google workspace software | hubspot software | hypertext markup language html
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,mathematics (3.06) | computers and electronics (2.37) | telecommunications (1.71) | engineering and technology (1.23),microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | facebook | google analytics | google docs | hubspot software | hypertext markup language html | marketo marketing automation | microsoft access
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",,computers and electronics (3.35) | mathematics (3.26) | telecommunications (2.63) | engineering and technology (2.06),microsoft excel | adobe acrobat | atlassian jira | autodesk autocad | google docs | ibm spss statistics | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle peoplesoft | oracle primavera enterprise project portfolio management | r | sap software
