onet_soc_code,canonical_title,normalized_canonical_title,matched_target_families,alternate_title_count,knowledge_count,technology_example_count,sample_alternate_titles,sample_top_knowledge,sample_top_technology_examples
11-1011.00,Chief Executives,chief executives,,75,4,15,Aeronautics Commission Director | Agency Owner | Agricultural Services Director | Arts and Humanities Council Director | Bank President | Bureau Chief | Business Development Executive (BD Executive) | Business Development Officer (BD Officer),computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | atlassian jira | extensible markup language xml | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint
11-1011.03,Chief Sustainability Officers,chief sustainability officers,,25,4,15,"CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President) | Chief Environmental Commitment Officer (CECO) | Chief Green Officer (CGO) | Chief Sustainability Officer (CSO) | Climate Change and Sustainability Manager | Corporate Sustainability Manager | Corporate Sustainability Process Manager | ESG Manager (Environmental, Social, and Corporate Governance Manager)",mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | adobe acrobat | adobe photoshop | facebook | microsoft access | microsoft project | microsoft sharepoint | salesforce software
11-1021.00,General and Operations Managers,general and operations managers,,74,4,15,Area Manager | Boards and Commissions Director | Business Coordinator | Business Manager | Center Manager | Chief Administrative Officer (CAO) | Corporate Manager | Department Manager,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | adobe acrobat | adobe creative cloud software | adobe photoshop | amazon web services aws software | apache hadoop | apple macos | atlassian confluence
11-1031.00,Legislators,legislators,,26,0,15,Alderman | Assembly Member | Assembly Person | Assemblyman | Assemblywoman | City Alderman | City Council Member | City Councilman,,adobe acrobat | cisco webex | microsoft access | microsoft excel | microsoft sharepoint | microsoft sql server | microsoft visual basic | structured query language sql
11-2011.00,Advertising and Promotions Managers,advertising and promotions managers,,47,4,15,Account Director | Account Executive | Account Manager | Account Specialist | Advertising Account Executive (Ad Account Executive) | Advertising Account Manager (Ad Account Manager) | Advertising Agency Manager (Ad Agency Manager) | Advertising Campaign Manager (Ad Campaign Manager),computers and electronics | mathematics | telecommunications | engineering and technology,google analytics | microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign
11-2021.00,Marketing Managers,marketing managers,,40,4,15,Account Supervisor | Brand Manager | Business Developer | Business Development Director | Business Development Manager | Category Manager | Channel Manager | Commercial Director,computers and electronics | mathematics | telecommunications | engineering and technology,atlassian jira | microsoft excel | salesforce software | structured query language sql | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator
11-2022.00,Sales Managers,sales managers,,49,4,15,Account Manager | Area Sales Manager | Area Supervisor | BD Director (Business Development Director) | BD Executive (Business Development Executive) | BD Manager (Business Development Manager) | Business Developer | Channel Manager,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | salesforce software | adobe acrobat | adobe creative cloud software | bentley microstation | eclipse ide | facebook | google analytics
11-2032.00,Public Relations Managers,public relations managers,,24,0,15,Business Development Director | Campaign Manager | Communications Director | Communications Manager | Community Director | Community Engagement Manager | Community Manager | Community Relations Director,,microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop
11-2033.00,Fundraising Managers,fundraising managers,,27,4,15,Account Manager | Account Supervisor | Advancement Director | Annual Giving Director | Campaign Manager | Canvass Director | Community Manager | Development Director,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | salesforce software | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop
11-3012.00,Administrative Services Managers,administrative services managers,,17,4,15,Administration Director | Administrative Coordinator | Administrative Director | Administrative Manager | Administrative Officer | Administrative Services Manager | Administrator | Business Administrator,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | adobe acrobat | atlassian jira | autodesk autocad | google docs | ibm spss statistics | intuit quickbooks | microsoft access
11-3013.00,Facilities Managers,facilities managers,,29,4,15,Building Maintenance Superintendent | Building Manager | Building Services Supervisor | Conference Center Manager | Facilities Coordinator | Facilities Director | Facilities Electrical Engineer | Facilities Engineer,computers and electronics | mathematics | engineering and technology | telecommunications,microsoft excel | adobe acrobat | autodesk autocad | autodesk revit | google docs | google workspace software | intuit quickbooks | microsoft access
11-3013.01,Security Managers,security managers,,38,4,15,Chief Security Officer (CSO) | Cloud Security Manager | Corporate Physical Security Supervisor | Corporate Security Director | Corporate Security Manager | Global Security Manager | IS Security Manager (Information Systems Security Manager) | Industrial Security Specialist,computers and electronics | telecommunications | engineering and technology | mathematics,microsoft excel | sap software | amazon web services aws software | facebook | microsoft access | microsoft azure software | microsoft project | microsoft visio
11-3021.00,Computer and Information Systems Managers,computer and information systems managers,,58,4,15,Application Development Director | Chief Information Security Officer (CISO) | Computer Operations Manager | Computer Programming Manager | Computer Security Manager | Computer Systems Information Director | Computer and Information Systems Manager | Computing Services Director,computers and electronics | engineering and technology | mathematics | telecommunications,amazon web services aws software | microsoft azure software | apache cassandra | apache hadoop | apache maven | apache tomcat | apple macos | atlassian jira
11-3031.00,Financial Managers,financial managers,,59,4,15,ATM Manager (Automated Teller Machine Manager) | Accountant Supervisor | Accounting Director | Accounting Manager | Accounting Supervisor | Accounts Manager | Accounts Payable Manager | Accounts Supervisor,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | sap software | adobe acrobat | alteryx software | ibm spss statistics | intuit quickbooks | marketo marketing automation | microsoft access
11-3031.01,Treasurers and Controllers,treasurers and controllers,,23,4,15,City Comptroller | City Controller | City Treasurer | Comptroller | Controller | Corporate Controller | Corporate Treasurer | Cost Controller,mathematics | computers and electronics | engineering and technology | telecommunications,intuit quickbooks | microsoft excel | sap software | hypertext markup language html | microsoft access | microsoft project | oracle peoplesoft | oracle primavera enterprise project portfolio management
11-3031.03,Investment Fund Managers,investment fund managers,,23,4,15,Annual Fund Manager | Asset Management Manager | Asset Management Project Manager | Asset Manager | Digital Asset Manager | Financial Planning Director | Financial Planning Manager | Financial Planning and Analysis Finance Manager,mathematics | computers and electronics | telecommunications | engineering and technology,microsoft excel | microsoft access | microsoft power bi | microsoft project | microsoft visio | sap software | sas | structured query language sql
11-3051.00,Industrial Production Managers,industrial production managers,,47,4,15,Area Plant Manager | Assembly Manager | Bulk Plant Manager | Car Construction Superintendent | Concrete Mixing Plant Superintendent | Correctional Facility Industries Superintendent | Factory Manager | Factory Superintendent,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | sap software | adobe acrobat | adobe after effects | adobe indesign | adobe photoshop | autodesk autocad | intuit quickbooks
11-3051.01,Quality Control Systems Managers,quality control systems managers,,19,4,15,Construction Quality Control Manager | Product Quality Director | Quality Assurance Coordinator (QA Coordinator) | Quality Assurance Director (QA Director) | Quality Assurance Manager (QA Manager) | Quality Assurance Supervisor (QA Supervisor) | Quality Control Director (QC Director) | Quality Control Manager (QC Manager),mathematics | engineering and technology | computers and electronics | telecommunications,microsoft excel | adobe acrobat | atlassian jira | extensible markup language xml | linux | microsoft access | microsoft project | microsoft sql server
11-3051.02,Geothermal Production Managers,geothermal production managers,,13,4,5,Decommissioning Well Site Manager | Geothermal Operations Manager | Geothermal Plant Manager | Geothermal Product Manager | Geothermal Production Manager | Industrial Production Manager | Mitigation Supervisor | Plant Manager,mathematics | engineering and technology | computers and electronics | telecommunications,microsoft access | microsoft excel | data logging software | infostat rimbase | personnel scheduling software
11-3051.03,Biofuels Production Managers,biofuels production managers,,18,4,9,Biodiesel Operations Manager | Biodiesel Plant Manager | Biodiesel Plant Superintendent | Biofuels Operations Manager | Biofuels Plant Manager | Biofuels Plant Superintendent | Biofuels Production Manager | Ethanol Operations Manager,engineering and technology | mathematics | computers and electronics | telecommunications,adobe acrobat | autodesk autocad | microsoft excel | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | human machine interface hmi software | inventory control software
11-3051.04,Biomass Power Plant Managers,biomass power plant managers,,14,4,6,Biomass Plant Manager | Biomass Power Plant Manager | Biomass Power Plant Superintendent | Biomass Production Manager | Demand Generator Manager | Fuel Manager | Maintenance Manager | Maintenance Superintendent,engineering and technology | mathematics | computers and electronics | telecommunications,microsoft excel | computer aided design cad software | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | inventory control software
11-3051.06,Hydroelectric Production Managers,hydroelectric production managers,,17,4,15,Demand Generation Manager | Generation Manager | Hydroelectric Generation Manager (Hydro Generation Manager) | Hydroelectric Generation Supervisor (Hydro Generation Supervisor) | Hydroelectric Plant Site Manager (Hydro Plant Site Manager) | Hydroelectric Production Manager | Hydroelectric Station Chief | Hydroelectric Station Supervisor (Hydro Station Supervisor),engineering and technology | computers and electronics | mathematics | telecommunications,apache kafka | microsoft access | microsoft active server pages asp | microsoft excel | microsoft project | microsoft sql server | oracle database | sap software
11-3061.00,Purchasing Managers,purchasing managers,,25,4,15,Category Purchasing Manager | Commissary Superintendent | Commodity Manager | Contract Manager | Contracting Manager | Division Merchandise Manager (DMM) | General Merchandise Manager | Materials Director,computers and electronics | mathematics | telecommunications | engineering and technology,microsoft excel | sap software | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle database | oracle peoplesoft
