term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
data scientist,11,['data scientist'],False,False,False,True,False,False,
agile analysis database manager olap programming python research scrum sql,2,"['agile', ' analysis', ' database', ' manager', ' olap', ' programming', ' python', ' research', ' scrum', ' sql']",False,False,False,True,False,True,
agile analyst developer development genetic intern management project security,2,"['agile', ' analyst', ' developer', ' development', ' genetic', ' intern', ' management', ' project', ' security']",False,False,False,True,False,False,
analysis analyst architecture database programming research sas security,2,"['analysis', ' analyst', ' architecture', ' database', ' programming', ' research', ' sas', ' security']",False,False,False,True,False,True,
data scientist rwd,2,"['data', ' scientist', ' rwd']",False,False,False,True,False,False,
machine learning,2,"['machine learning', ''] | machine learning",True,True,False,False,False,False,model_development_basics
management risk management,2,"['management', ' risk management']",False,False,False,True,False,False,
sas programming sas/stat sas enterprise miner,2,"['sas programming', ' sas/stat', ' sas enterprise miner']",False,False,False,True,False,True,
sql,2,sql,True,False,True,False,False,False,
1 python 2 nlp 3 deep learning,1,['1. python 2. nlp 3. deep learning'],False,False,False,True,True,True,model_development_basics
access database etl olap power bi data scientist dax microsoft excel,1,"['access', ' database', ' etl', ' olap', ' power bi', ' data scientist', ' dax', ' microsoft', ' excel']",False,False,False,True,False,True,
administration,1,['administration'],False,False,False,True,False,False,
agile analysis architecture development scrum testing,1,"['agile', ' analysis', ' architecture', ' development', ' scrum', ' testing']",False,False,False,True,False,False,
algorithms development java networks python research security,1,"['algorithms', ' development', ' java', ' networks', ' python', ' research', ' security']",False,False,False,True,False,True,
algorithms machine learning r/python,1,"['algorithms', ' machine learning', ' r/python']",False,False,False,True,True,True,model_development_basics
algorithms programming python research sql,1,"['algorithms', ' programming', ' python', ' research', ' sql']",False,False,False,True,False,True,
analysis c++ development java project python research sas statistical analysis,1,"['analysis', ' c++', ' development', ' java', ' project', ' python', ' research', ' sas', ' statistical analysis']",False,False,False,True,True,True,
analysis development ms office project python sql,1,"['analysis', ' development', ' ms office', ' project', ' python', ' sql']",False,False,False,True,False,True,
api database ibm java oracle python research teradata,1,"['api', ' database', ' ibm', ' java', ' oracle', ' python', ' research', ' teradata']",False,False,False,True,False,True,
architecture data collection git hadoop http python scientific scrum sql,1,"['architecture', ' data collection', ' git', ' hadoop', ' http', ' python', ' scientific', ' scrum', ' sql']",False,False,False,True,False,True,version_control
aws,1,aws,False,False,False,True,False,True,
aws cloud services ec2 emr rds redshift,1,"['aws cloud services: ec2', ' emr', ' rds', ' redshift",False,False,False,True,False,True,
azure cloud engineer,1,['azure cloud engineer'],False,False,False,True,False,True,
bi engineer/data scientist,1,['bi engineer/data scientist'],False,False,False,True,False,False,
bi tableau cognos sql server,1,"['bi', ' tableau', ' cognos', ' sql server', '']",False,False,False,True,False,True,
big data bigdata hadoop mllib scala machine learning nlp,1,"['big data', ' bigdata', ' hadoop', ' mllib', ' scala', ' machine learning', ' nlp']",False,False,False,True,True,False,model_development_basics
big data hadoop,1,"['big data', ' hadoop']",False,False,False,True,False,False,
big data hadoop machine learning,1,"['big data', ' hadoop', ' machine learning']",False,False,False,True,True,False,model_development_basics
biostatistics data mining nlp machine learning python java or c++,1,"['biostatistics', ' data mining', ' nlp', ' machine learning', ' python', ' java or c++']",False,False,False,True,True,True,model_development_basics
caboodle,1,caboodle'],False,False,False,True,False,False,
cfa,1,['cfa'],False,False,False,True,False,False,
chief data scientist,1,['chief data scientist'],False,False,False,True,False,False,
cigo,1,cigo,False,False,False,True,False,False,
civil developer java management perl python recruiter ruby,1,"['civil', ' developer', ' java', ' management', ' perl', ' python', ' recruiter', ' ruby']",False,False,False,True,False,True,
claims,1,['claims'],False,False,False,True,False,False,
data,1,data,False,False,False,True,False,False,
data analyst and capacity and visualization and sql and azure,1,['data analyst and capacity and visualization and sql and azure'],False,False,False,True,False,True,
data analyst data engineer data scientist,1,"['data analyst', ' data engineer', ' data scientist', '']",False,False,False,True,False,False,
data analyst data scientist erp sap mdm,1,"['data analyst', ' data scientist', ' erp', ' sap', ' mdm']",False,False,False,True,False,False,
data analytics data mining and statistical analysis sql python scala,1,"['data analytics', ' data mining and statistical analysis', ' sql', ' python', ' scala']",False,False,False,True,True,True,
data analytics data sciences mathematics statistics or data modeling,1,"['data analytics', ' data sciences', ' mathematics', ' statistics or data modeling']",False,False,False,True,True,False,
data analytics data scientist,1,"['data analytics', ' data scientist']",False,False,False,True,False,False,
data analytics python or r,1,"['data analytics', ' python or r']",False,False,False,True,False,True,
data analytics python/r,1,"['data analytics', ' python/r']",False,False,False,True,False,True,
data architect - r python stats ai,1,"['data architect - r', ' python', ' stats', ' ai']",False,False,False,True,False,True,
data mining,1,data mining,False,False,False,True,False,False,
data mining expertise sql required,1,data mining expertise: sql required,False,False,False,True,False,True,
data modeling analytics statistics python sql mach,1,"['data modeling', ' analytics', ' statistics', ' python', ' sql', ' mach']",False,False,False,True,True,True,
data modeling modeling python sas,1,"['data modeling', ' modeling', ' python', ' sas']",False,False,False,True,True,True,
data scientist ai and ml models python pyspark r and scala,1,"['data scientist', ' ai and ml models', ' python', ' pyspark', ' r', ' and scala']",False,False,False,True,False,True,
data scientist ai ml python sklearn apache splunk spark java oracle linux unix,1,"['data scientist', ' ai.ml', ' python', ' sklearn', ' apache', ' splunk', ' spark', ' java', ' oracle', ' linux', ' unix']",False,False,False,True,False,True,
data scientist algorithms data warehouse,1,"['data scientist', ' algorithms', ' data warehouse']",False,False,False,True,False,False,
data scientist apache spark or kubernetes or hortonworks or hadoop,1,"['data scientist', ' apache spark or kubernetes or hortonworks or hadoop']",False,False,False,True,False,True,
data scientist bigdata predictive modeling,1,"['data scientist', ' bigdata', ' predictive modeling']",False,False,False,True,True,False,
data scientist gcp python r,1,"['data scientist', ' gcp', ' python', ' r']",False,False,False,True,False,True,
data scientist insurance,1,"['data scientist', ' insurance']",False,False,False,True,False,False,
data scientist machine learning,1,['data scientist machine learning'],False,False,False,True,True,False,model_development_basics
data scientist machine learning python,1,"['data scientist', ' machine learning', ' python']",False,False,False,True,True,True,model_development_basics
data scientist machine learning r python sparks predictive model algorithm,1,"['data scientist', ' machine learning', ' r', ' python', ' sparks', ' predictive model', ' algorithm']",False,False,False,True,True,True,model_development_basics
data scientist machine learning recommendation,1,"['data scientist', ' machine learning', ' recommendation']",False,False,False,True,True,False,model_development_basics
data scientist machine learning statistics r python c java scala,1,['data scientist machine learning statistics r python c# java scala'],False,False,False,True,True,True,model_development_basics
data scientist machine learning tensorflow,1,"['data scientist', 'machine learning', 'tensorflow']",False,False,False,True,True,True,model_development_basics
data scientist predictive modeling machine learning,1,"['data scientist ', 'predictive modeling', ' machine learning']",False,False,False,True,True,False,model_development_basics
data scientist predictive modeling r sql server tableau,1,"['data scientist', ' predictive modeling', ' r', ' sql server', ' tableau']",False,False,False,True,True,True,
data scientist python,1,"['data scientist', ' python']",False,False,False,True,False,True,
data scientist python machine learning random forest nlp neuro networks ai r,1,"['data scientist', ' python', ' machine learning', ' random forest', ' nlp', ' neuro networks', ' ai', ' r']",False,False,False,True,True,True,"classical_ml_methods,model_development_basics"
data scientist python numpy pandas,1,"['data scientist', ' python', ' numpy', ' pandas']",False,False,False,True,False,True,
data scientist python predictive model,1,"['data scientist', ' python', ' predictive model']",False,False,False,True,True,True,
data scientist python pyspark tensorflow spark,1,"['data scientist', 'python', 'pyspark', ' tensorflow', ' spark']",False,False,False,True,False,True,
data scientist python r,1,"['data scientist', ' python', ' r']",False,False,False,True,False,True,
data scientist python slq,1,"['data scientist', 'python', ' slq', '']",False,False,False,True,False,True,
data scientist quantitative analyst,1,"['data scientist ', ' quantitative analyst']",False,False,False,True,False,False,
data scientist r programming etl machine learning artificial intelligence,1,"['data scientist', ' r programming', ' etl', ' machine learning', ' artificial intelligence']",False,False,False,True,True,True,model_development_basics
data scientist r python statistical computer language slq,1,"['data scientist', ' r', ' python', ' statistical computer language', ' slq']",False,False,False,True,True,True,
data scientist r sql python machine learning,1,"['data scientist', ' r', ' sql', ' python', ' machine learning']",False,False,False,True,True,True,model_development_basics
data scientist senior manager python analytics machine leaning,1,"['data scientist', ' senior manager', ' python', ' analytics', ' machine leaning']",False,False,False,True,False,True,
data scientist sql python,1,"['data scientist', ' sql', ' python']",False,False,False,True,False,True,
data sets,1,data sets'],False,False,False,True,False,False,
data warehouse programming python,1,"['data warehouse', ' programming', ' python']",False,False,False,True,False,True,
database management python sql,1,"['database', ' management', ' python', ' sql']",False,False,False,True,False,True,
datarobot,1,datarobot,False,False,False,True,False,False,
datarobot for quick implementation of ai/ml,1,['datarobot for quick implementation of ai/ml'],False,False,False,True,False,False,
decision tree,1,decision tree,False,False,False,True,False,False,classical_ml_methods
design,1,design,False,False,False,True,False,False,
domino laboratory libraries mathematical mathematical models modeling python,1,"['domino', ' laboratory', ' libraries', ' mathematical', ' mathematical models', ' modeling', ' python']",False,False,False,True,True,True,
epic,1,epic,False,False,False,True,False,False,
etl,1,['etl,False,False,False,True,False,False,
extract,1,extract,False,False,False,True,False,False,
financial industry statistics data modeling,1,"['financial industry', ' statistics', ' data modeling']",False,False,False,True,True,False,
fintech exp,1,['fintech exp'],False,False,False,True,False,False,
forecast report python r,1,"['forecast', ' report', ' python', ' r']",False,False,False,True,True,True,
full relocation package,1,['full relocation package'],False,False,False,True,False,False,
hadoop framework,1,hadoop framework'],False,False,False,True,False,False,
hadoop programming python,1,"['hadoop', ' programming', ' python']",False,False,False,True,False,True,
hadoop python node net r spark api machine learning,1,"['hadoop', 'python', 'node', '.net', 'r ', 'spark', 'api', 'machine learning']",False,False,False,True,True,True,model_development_basics
hadoop spark machine learning r studio,1,"['hadoop', ' spark', ' machine learning', ' r studio']",False,False,False,True,True,True,model_development_basics
hdfs/ hive/ impala network/ security development java bi,1,"['hdfs/ hive/ impala', ' network/ security', ' development(java)', ' bi']",False,False,False,True,False,False,
hiin analyst analytics tableau,1,"['hiin analyst', ' analytics', ' tableau']",False,False,False,True,False,True,
hive,1,hive,False,False,False,True,False,False,
id,1,id,False,False,False,True,False,False,
intern java linux object oriented programming programming python security unix,1,"['intern', ' java', ' linux', ' object oriented programming', ' programming', ' python', ' security', ' unix']",False,False,False,True,False,True,
java c++ python php javascript sql matlab linux os atlassian,1,"['java', ' c++', ' python', ' php', ' javascript', ' sql', ' matlab', ' linux os', ' atlassian']",False,False,False,True,False,True,
java node js postgres cassandra rabbitmq,1,"['java', ' node.js', ' postgres', ' cassandra', ' rabbitmq']",False,False,False,True,False,False,
java scala aws big data,1,"['java', ' scala', ' aws', ' big data']",False,False,False,True,False,True,
jr data scientist,1,['jr data scientist'],False,False,False,True,False,False,
kafka spark presto - kafka spark presto,1,"['kafka', ' spark', ' presto - kafka', ' spark', ' presto']",False,False,False,True,False,True,
lead data scientist - high growth startup - nyc - 160k+,1,['lead data scientist - high growth startup - nyc - 160k+'],False,False,False,True,False,False,
linear regression,1,linear regression,False,False,False,True,True,False,classical_ml_methods
load,1,load,False,False,False,True,False,False,
machine learning ai modeling r python - machine learning ai modeling r python,1,"['machine learning', ' ai', ' modeling', ' r', ' python - machine learning', ' ai', ' modeling', ' r', ' python']",False,False,False,True,True,True,model_development_basics
machine learning algorithms statistical analysis regression big data analytics,1,"['machine learning', ' algorithms', ' statistical analysis', ' regression', ' big data', ' analytics']",False,False,False,True,True,False,model_development_basics
machine learning and artificial intelligence and rafa,1,['(machine learning ) and (artificial intelligence ) and (rafa )'],False,False,False,True,True,False,model_development_basics
machine learning and tensorflow and statistical model,1,['machine learning and tensorflow and statistical model'],False,False,False,True,True,True,model_development_basics
machine learning data mining sas spss r python,1,"['machine learning', ' data mining', ' sas', ' spss', ' r', ' python']",False,False,False,True,True,True,model_development_basics
machine learning data scientist statistics,1,"['machine learning', ' data scientist', ' statistics']",False,False,False,True,True,False,model_development_basics
machine learning deep learning tensorflow nlp image processing,1,"['machine learning', ' deep learning', ' tensorflow', ' nlp', ' image processing']",False,False,False,True,True,True,model_development_basics
machine learning nlp python sql,1,"['machine learning ', ' nlp', ' python', ' sql']",False,False,False,True,True,True,model_development_basics
machine learning python sql / nosql databases elasticsearch,1,"['machine learning python sql / nosql databases', ' elasticsearch']",False,False,False,True,True,True,model_development_basics
machine learning r python sql predictive modelling sql aws java,1,"['machine learning', 'r', 'python', ' sql', 'predictive modelling', ' sql', ' aws', 'java']",False,False,False,True,True,True,model_development_basics
machine-learning aws linux python,1,"['machine-learning', ' aws', ' linux', ' python.']",False,False,False,True,False,True,
marketing data scientist/analyst,1,['marketing data scientist/analyst'],False,False,False,True,False,False,
mdm analyst data analyst data scientist master data management analyst,1,"['mdm analyst', ' data analyst', ' data scientist', ' master data management analyst']",False,False,False,True,False,False,
ml,1,ml,False,False,False,True,False,False,
ms in statistics or analytics programming in r sas or pytho,1,"['ms in statistics or analytics', ' programming in r', ' sas or pytho']",False,False,False,True,True,True,
ms sql python r hadoop aws,1,"['ms sql', ' python', ' r', ' hadoop', ' aws']",False,False,False,True,False,True,
ms/phd sql python numpy scipy mapreduce neural,1,"['ms/phd', ' sql', ' python', ' numpy', ' scipy', ' mapreduce', ' neural']",False,False,False,True,False,True,
n/a,1,['n/a'],False,False,False,True,False,False,
neural network,1,neural network,False,False,False,True,False,False,
nlp,1,['nlp'],False,False,False,True,True,False,
nlp natural language processing git r matlab,1,['nlp(natural language processing) git r matlab'],False,False,False,True,True,True,version_control
nosql,1,nosql'],False,False,False,True,False,False,
phd cplex ieor,1,"['phd', ' cplex', ' ieor']",False,False,False,True,False,False,
phd machine learning deep learning python phd,1,"['phd', ' machine learning', ' deep learning', ' python', ' phd']",False,False,False,True,True,True,model_development_basics
phd required hadoop hive spark qlikview,1,"['phd required', ' hadoop', ' hive', ' spark', ' qlikview']",False,False,False,True,False,True,
pl/sql shell scripting hadoop hive spark,1,"['pl/sql', ' shell scripting', ' hadoop', ' hive', ' spark']",False,False,False,True,False,True,
predictive analytics,1,predictive analytics,False,False,False,True,False,False,
programming in r sas or python,1,"['programming in r', ' sas or python']",False,False,False,True,False,True,
pydata pandas python numpy scipy scikit-learn spark golang java,1,"['pydata', ' pandas', ' python', ' numpy', ' scipy', ' scikit-learn', ' spark', ' golang', ' java']",False,False,False,True,False,True,
pythin java mongodb,1,"['pythin', ' java', ' mongodb']",False,False,False,True,False,False,
python,1,['python'],True,False,True,False,False,False,
python ai visualization crm - python ai visualization crm,1,"['python', ' ai', ' visualization', ' crm - python', ' ai', ' visualization', ' crm']",False,False,False,True,False,True,
python and,1,['python and ('],False,False,False,True,False,True,
python and spark,1,python & spark,False,False,False,True,False,True,
python backend coding aws s3 lambda functions dynamodb,1,"['python', ' backend coding', ' aws', ' s3', ' lambda functions', ' dynamodb']",False,False,False,True,False,True,
python data modelling predictive model,1,"['python', ' data modelling', ' predictive model']",False,False,False,True,True,True,
python or r or sas,1,python or r or sas,False,False,False,True,False,True,
python pandas numpy scipy scikit-learn go,1,"['python', ' pandas', ' numpy', ' scipy', ' scikit-learn', ' go']",False,False,False,True,False,True,
python r analytics predictive analytics,1,"['python', ' r', ' analytics', ' predictive analytics']",False,False,False,True,False,True,
python r hadoop nosql hive pig - python r hadoop nosql hive pig,1,"['python', ' r', ' hadoop', ' nosql', ' hive', ' pig - python', ' r', ' hadoop', ' nosql', ' hive', ' pig']",False,False,False,True,False,True,
python r java scalanltk spacy stanford corenlp,1,"['python', ' r', ' java', ' scalanltk', ' spacy', ' stanford', ' corenlp']",False,False,False,True,False,True,
python r scala sql,1,['python r scala sql'],False,False,False,True,False,True,
python scala r,1,"['python', ' scala', ' r']",False,False,False,True,False,True,
python sql machine learning,1,"['python', ' sql', ' machine learning']",False,False,False,True,True,True,model_development_basics
python sql pandas bigquery tableau - python sql pandas bigquery tableau,1,"['python', ' sql', ' pandas', ' bigquery', ' tableau - python', ' sql', ' pandas', ' bigquery', ' tableau']",False,False,False,True,False,True,
python tensorflow c r keras rdbms - python tensorflow c r keras rdbms,1,"['python', ' tensorflow', ' c#', ' r', ' keras', ' rdbms - python', ' tensorflow', ' c#', ' r', ' keras', ' rdbms']",False,False,False,True,False,True,
python/r/sas,1,['python/r/sas'],False,False,False,True,False,True,
quantitative researcher-equities,1,['quantitative researcher-equities'],False,False,False,True,False,False,
r python azure machine learning sas datarobot rapidminer,1,"['r', ' python', ' azure machine learning', ' sas', ' datarobot', ' rapidminer']",False,False,False,True,True,True,model_development_basics
r python azure spark or alteryx sql,1,"['r', ' python', ' azure', ' spark or alteryx', ' sql']",False,False,False,True,False,True,
r python machine learning ml,1,"['r', ' python', ' machine learning (ml)']",False,False,False,True,True,True,model_development_basics
r required,1,['r required,False,False,False,True,False,True,
r/python programming spark h2o or azure ml statistics,1,"['r/python programming', ' spark', ' h2o or azure ml', ' statistics']",False,False,False,True,True,True,
random forest,1,random forest,True,True,False,False,False,False,classical_ml_methods
s3 redshift etl sql aws ec2 emr rds bigdata,1,"['s3', ' redshift', ' etl', ' sql', ' aws', 'ec2', ' emr', ' rds', 'bigdata']",False,False,False,True,False,True,
sas python r statistics,1,"['sas', ' python', ' r', ' statistics']",False,False,False,True,True,True,
scala sql data engineer spark,1,"['scala', ' sql data engineer', ' spark']",False,False,False,True,False,True,
see job description,1,['see job description'],False,False,False,True,False,False,
senior data scientist with phd aws,1,"['senior  data scientist  with phd', ' aws']",False,False,False,True,False,True,
spark,1,spark,True,False,True,False,False,False,
sql python etl,1,['sql python etl'],False,False,False,True,False,True,
sql server,1,['sql server,False,False,False,True,False,True,
sql tableau,1,"['sql', ' tableau']",False,False,False,True,False,True,
sql tableau marketing analysis,1,['sql tableau marketing analysis'],False,False,False,True,False,True,
sr data scientist,1,['sr data scientist'],False,False,False,True,False,False,
statistical modeling machine learning nlp,1,"['statistical modeling', ' machine learning', ' nlp']",False,False,False,True,True,False,model_development_basics
statistics machine learning,1,"statistics', ' machine learning",False,False,False,True,True,False,model_development_basics
statistics python perl hadoop,1,"['statistics', ' python', ' perl', ' hadoop']",False,False,False,True,True,True,
system programming,1,system programming,False,False,False,True,False,False,
transform,1,transform,False,False,False,True,False,False,
unix,1,unix,False,False,False,True,False,False,
url,1,url,False,False,False,True,False,False,
watson watson discovery python apache spark spss watson data studio,1,"['watson', ' watson discovery', ' python', ' apache spark', ' spss', ' watson data studio']",False,False,False,True,False,True,
webservices,1,webservices'],False,False,False,True,False,False,
