term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,promotable,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
java,82,' java' | ['java' | ' java'] | 'java'] | python or java,False,False,False,True,False,False,True,
hadoop,81,' hadoop' | ' hadoop'] | ['hadoop' | big data/hadoop | hadoop - data,False,False,False,True,False,False,True,
data science,69,['data science' | ' data science' | ' data science'] | ['data science | ['data science'],True,True,False,False,False,False,False,
data mining,58,' data mining' | data mining | ['data mining' | agile work environment - data mining | data mining and statistical analysis,False,False,False,True,False,True,False,
data analysis,41,' data analysis' | 'data analysis' | ' data analysis'] | ['data analysis' | data analysis - sql server,True,False,False,False,False,False,False,
statistical analysis,26,' statistical analysis' | ' statistical analysis'] | ['statistical analysis' | data mining and statistical analysis | statistical analysis and data driven insights,False,False,False,True,False,True,False,
c++,24,' c++' | ' c++'] | c++ - operations research | c/c++ | c/c++ - data scientist,False,False,False,True,False,False,False,
automated,22,' automated' | ['automated',False,False,False,False,False,False,False,
big data,22,' big data' | ['big data' | ' big data'] | big data management/concepts | big data/hadoop,False,False,False,False,False,False,False,
hive,22,' hive'] | ' hive' | hive | hdfs/ hive/ impala | hive - python,False,False,False,True,False,False,True,
ai,21,' ai' | ' ai'] | ['ai' | ai - data scientist | ai - r,False,False,False,False,False,False,False,
tableau,21,' tableau' | ' tableau'] | tableau - python | etc and analysis tools tableau | tableau/ raw /chart js/data visualization,True,False,True,False,False,False,False,
architecture,20,' architecture' | ['architecture',False,False,False,False,False,False,False,
aws,20,' aws'] | ' aws' | ['aws' | aws | aws cloud services ec2,False,False,True,False,False,False,False,
data modeling,20,' data modeling' | ' data modeling'] | ['data modeling' | data modeling for analytics | conceptual and logical data modeling,False,False,False,True,False,True,False,
sql server,20,' sql server' | ['sql server | ['sql server' | data analysis - sql server | ibm db2 and sql server,False,False,False,True,False,False,True,
tensorflow,20,' tensorflow'] | ' tensorflow' | 'tensorflow'] | 'tensorflow' | data science analytics networks machine learning tensorflow,True,False,True,False,False,False,False,
mysql,19,' mysql',False,False,False,True,False,False,True,
nosql,19,nosql'] | ' nosql' | nosql databases - mongodb-couchbase - cassandra,False,False,False,True,False,False,False,
linux,18,'linux' | ' linux',False,False,False,True,False,False,True,
networks,18,' networks' | data science analytics networks machine learning tensorflow,False,False,False,False,False,False,False,
oracle,18,' oracle' | oracle marketing suite - marketing technologies,False,False,False,True,False,False,True,
scala,18,' scala'] | ' scala' | ['scala' | data scientist machine learning statistics r python c java scala,False,False,False,True,False,False,True,
analyst,17,['analyst' | ' analyst',False,False,False,False,False,False,False,
metrics,17,' metrics',False,False,False,False,False,False,False,
excel,16,' excel' | ' excel'],True,False,False,False,False,False,False,
mathematical,16,' mathematical',False,False,False,False,False,False,False,
javascript,15,' javascript' | ' javascript'] | jquery/javascript programming including scripting / coding,False,False,False,True,False,False,True,
physics,15,' physics',False,False,False,False,False,False,False,
genetic,14,' genetic',False,False,False,False,False,False,False,
consulting,13,' consulting',False,False,False,False,False,False,False,
data warehouse,12,' data warehouse' | ['data warehouse' | ' data warehouse'] | azure sql data warehouse,False,False,False,False,False,False,False,
etl,12,['etl' | ' etl' | ['etl | etl and big data platforms | etl tools knowledge is required,False,False,False,False,False,False,False,
pandas,12,' pandas' | ' pandas'],True,False,False,False,False,False,False,
