normalized_term,skip_reason,count,raw_examples,recoverable
r,too_short,93,' r' | ['r' | ' r'] | 'r ' | 'r',False
data scientist,drop_exact,58,['data scientist'] | ['data scientist' | ' data scientist' | ' data scientist'] | ['data scientist ',False
,empty_after_normalization,42,[''] | ''],False
business requirements,invalid_skill_pattern,12,' business requirements',False
c,too_short,9,' c#' | ' c',False
data analyst,drop_exact,3,['data analyst' | ' data analyst',False
s3,version_or_code_like,3,s3' | ['s3' | ' s3',False
requirements gathering,invalid_skill_pattern,2,' requirements gathering',False
hadoop - hive - pig,long_freeform_phrase,2,' hadoop - hive - pig',True
large data set organization and analytics,long_freeform_phrase,2,' large data set organization & analytics',True
nosql databases - mongodb-couchbase - cassandra,long_freeform_phrase,2,' nosql databases - mongodb-couchbase - cassandra',True
2 years industry exp,mixed_numeric_phrase,2,' 2 years industry exp',True
experience with nlp technologies/data science in a clinical background,too_many_tokens,2,['experience with nlp technologies/data science in a clinical background' | 'experience with nlp technologies/data science in a clinical background',True
jr data scientist,drop_exact,1,['jr data scientist'],False
senior data scientist,drop_exact,1,['senior data scientist ',False
sr data scientist,drop_exact,1,['sr data scientist'],False
7 years of progressively increasing responsibilities marketing,invalid_skill_pattern,1,' 7 years of progressively increasing responsibilities (marketing',False
full relocation package,invalid_skill_pattern,1,['full relocation package'],False
masters degree with 5 years of experience in creating machine learning pipelines,invalid_skill_pattern,1,['masters degree with 5 years of experience in creating machine learning pipelines',False
9+ years of demonstrated experience leading teams,long_freeform_phrase,1,['9+ years of demonstrated experience leading teams',True
agile work environment - data mining,long_freeform_phrase,1,' agile work environment - data mining',True
airline contracting - direct analytics,long_freeform_phrase,1,' airline contracting - direct analytics',True
and behavioral modeling and simulation for bfs/retail,long_freeform_phrase,1,' and behavioral modeling and simulation for bfs/retail'],True
building predictive models - r,long_freeform_phrase,1,' building predictive models - r',True
business analyst and data and sql,long_freeform_phrase,1,['business analyst and data and sql'],True
computational physics - data science,long_freeform_phrase,1,' computational physics - data science',True
conceptual and logical data modeling,long_freeform_phrase,1,' conceptual and logical data modeling'],True
data analysis - sql server,long_freeform_phrase,1,' data analysis - sql server',True
data mining and statistical analysis,long_freeform_phrase,1,' data mining and statistical analysis',True
data mining expertise sql required,long_freeform_phrase,1,data mining expertise: sql required,True
data modeling and hypothesis generation,long_freeform_phrase,1,' data modeling and hypothesis generation',True
data science and implementations in python,long_freeform_phrase,1,['data science and implementations in python',True
datarobot for quick implementation of ai/ml,long_freeform_phrase,1,['datarobot for quick implementation of ai/ml'],True
distributed computing - big data,long_freeform_phrase,1,' distributed computing - big data',True
etc amazon web services aws,long_freeform_phrase,1,' etc.) amazon web services (aws)',True
etc and analysis tools tableau,long_freeform_phrase,1,' etc) and analysis tools ( tableau',True
etc gcp or other cloud platforms,long_freeform_phrase,1,' etc.) gcp or other cloud platforms'],True
etl and big data platforms,long_freeform_phrase,1,'etl and big data platforms'],True
etl tools knowledge is required,long_freeform_phrase,1,' etl tools knowledge is required.'],True
experience using statistical computer languages r,long_freeform_phrase,1,['experience using statistical computer languages (r',True
expert level understanding of the umls,long_freeform_phrase,1,'expert level understanding of the umls'],True
full funnel analytics - marketing analytics,long_freeform_phrase,1,' full funnel analytics - marketing analytics',True
ibm db2 and sql server,long_freeform_phrase,1,'  ibm db2 and sql server',True
ibm spss and sas tools,long_freeform_phrase,1,' ibm spss and sas tools',True
jquery/javascript programming including scripting / coding,long_freeform_phrase,1,' jquery/javascript programming (including scripting / coding)',True
life science - data science,long_freeform_phrase,1,' life science - data science',True
ms in statistics or analytics,long_freeform_phrase,1,['ms in statistics or analytics',True
must have skills data science python sas,long_freeform_phrase,1,['must have skills:  data science  python  sas'],True
o advanced applied statistics skills,long_freeform_phrase,1,['o advanced applied statistics skills',True
one modern programming language java,long_freeform_phrase,1,['one modern programming language: java',True
open source ml and dl frameworks,long_freeform_phrase,1,' open source ml & dl frameworks'],True
oracle marketing suite - marketing technologies,long_freeform_phrase,1,' oracle marketing suite - marketing technologies',True
prior teaching experience not essential,long_freeform_phrase,1,' prior teaching experience (not essential)'],True
senior data scientist with phd,long_freeform_phrase,1,['senior  data scientist  with phd',True
simulation development and/or predictive analytics,long_freeform_phrase,1,' simulation development and/or predictive analytics'],True
soap - ruby on rails,long_freeform_phrase,1,' soap - ruby on rails',True
software engineer - data engineer - sql,long_freeform_phrase,1,['software engineer - data engineer - sql',True
sql and data visualization software,long_freeform_phrase,1,['sql and data visualization software'],True
statistical analysis and data driven insights,long_freeform_phrase,1,' statistical analysis and data driven insights',True
tableau/ raw /chart js/data visualization,long_freeform_phrase,1,' tableau/ raw /chart.js/data visualization'],True
teaching technical concepts - data science,long_freeform_phrase,1,' teaching technical concepts - data science',True
team setting including git and unit testing,long_freeform_phrase,1,' team setting (including git & unit testing)'],True
1 python 2 nlp 3 deep learning,mixed_numeric_phrase,1,['1. python 2. nlp 3. deep learning'],True
10,numeric_only,1,10,False
100,numeric_only,1,100,False
101,numeric_only,1,101,False
102,numeric_only,1,102,False
103,numeric_only,1,103,False
104,numeric_only,1,104,False
105,numeric_only,1,105,False
106,numeric_only,1,106,False
107,numeric_only,1,107,False
108,numeric_only,1,108,False
109,numeric_only,1,109,False
11,numeric_only,1,11,False
110,numeric_only,1,110,False
111,numeric_only,1,111,False
112,numeric_only,1,112,False
113,numeric_only,1,113,False
114,numeric_only,1,114,False
115,numeric_only,1,115,False
116,numeric_only,1,116,False
117,numeric_only,1,117,False
118,numeric_only,1,118,False
119,numeric_only,1,119,False
12,numeric_only,1,12,False
120,numeric_only,1,120,False
121,numeric_only,1,121,False
122,numeric_only,1,122,False
123,numeric_only,1,123,False
124,numeric_only,1,124,False
125,numeric_only,1,125,False
126,numeric_only,1,126,False
127,numeric_only,1,127,False
128,numeric_only,1,128,False
129,numeric_only,1,129,False
13,numeric_only,1,13,False
130,numeric_only,1,130,False
131,numeric_only,1,131,False
132,numeric_only,1,132,False
133,numeric_only,1,133,False
134,numeric_only,1,134,False
135,numeric_only,1,135,False
136,numeric_only,1,136,False
137,numeric_only,1,137,False
138,numeric_only,1,138,False
139,numeric_only,1,139,False
14,numeric_only,1,14,False
140,numeric_only,1,140,False
141,numeric_only,1,141,False
142,numeric_only,1,142,False
143,numeric_only,1,143,False
144,numeric_only,1,144,False
145,numeric_only,1,145,False
146,numeric_only,1,146,False
147,numeric_only,1,147,False
148,numeric_only,1,148,False
149,numeric_only,1,149,False
15,numeric_only,1,15,False
150,numeric_only,1,150,False
151,numeric_only,1,151,False
152,numeric_only,1,152,False
153,numeric_only,1,153,False
154,numeric_only,1,154,False
155,numeric_only,1,155,False
156,numeric_only,1,156,False
157,numeric_only,1,157,False
158,numeric_only,1,158,False
159,numeric_only,1,159,False
16,numeric_only,1,16,False
160,numeric_only,1,160,False
161,numeric_only,1,161,False
162,numeric_only,1,162,False
163,numeric_only,1,163,False
164,numeric_only,1,164,False
