import time: self [us] | cumulative | imported package
import time:       123 |        123 |   _io
import time:        20 |         20 |   marshal
import time:       131 |        131 |   posix
import time:       364 |        636 | _frozen_importlib_external
import time:       515 |        515 |   time
import time:       140 |        655 | zipimport
import time:        28 |         28 |     _codecs
import time:       354 |        381 |   codecs
import time:       455 |        455 |   encodings.aliases
import time:       592 |       1427 | encodings
import time:       252 |        252 | encodings.utf_8
import time:        48 |         48 | _signal
import time:        15 |         15 |       _abc
import time:        94 |        108 |     abc
import time:        24 |         24 |       _stat
import time:        57 |         81 |     stat
import time:       519 |        519 |     _collections_abc
import time:        28 |         28 |       errno
import time:        53 |         53 |       genericpath
import time:        87 |        166 |     posixpath
import time:       320 |       1192 |   os
import time:        50 |         50 |   _sitebuiltins
import time:       277 |        277 |   encodings.utf_8_sig
import time:       607 |        607 |   _distutils_hack
import time:        21 |         21 |           _types
import time:       385 |        405 |         types
import time:      1591 |       1996 |       enum
import time:        52 |         52 |         _sre
import time:       346 |        346 |           re._constants
import time:       458 |        803 |         re._parser
import time:       243 |        243 |         re._casefix
import time:       624 |       1721 |       re._compiler
import time:        66 |         66 |           itertools
import time:       285 |        285 |           keyword
import time:        54 |         54 |             _operator
import time:       655 |        708 |           operator
import time:       342 |        342 |           reprlib
import time:        41 |         41 |           _collections
import time:       744 |       2184 |         collections
import time:        38 |         38 |         _functools
import time:       579 |       2799 |       functools
import time:       329 |        329 |       copyreg
import time:       562 |       7405 |     re
import time:       677 |       8082 |   sitecustomize
import time:      1020 |      11225 | site
import time:       423 |        423 | linecache
import time:       420 |        420 |     src
import time:       283 |        702 |   src.app
import time:       278 |        278 |     starlette
import time:       276 |        276 |       __future__
import time:        19 |         19 |           _contextvars
import time:       400 |        418 |         _py_warnings
import time:       237 |        655 |       warnings
import time:       334 |       1264 |     starlette.status
import time:        19 |         19 |         _typing
import time:      1626 |       1645 |       typing
import time:       306 |        306 |         annotated_doc.main
import time:       229 |        534 |       annotated_doc
import time:       606 |        606 |         contextlib
import time:       278 |        278 |           email
import time:       413 |        413 |           binascii
import time:       314 |        314 |           quopri
import time:       625 |        625 |           io
import time:        27 |         27 |               _datetime
import time:       220 |        246 |             datetime
import time:       222 |        222 |               urllib
import time:       546 |        546 |               math
import time:      1312 |       1312 |               ipaddress
import time:       997 |       3076 |             urllib.parse
import time:       412 |        412 |             email._parseaddr
import time:       491 |       4223 |           email.utils
import time:       933 |        933 |           email.errors
import time:        21 |         21 |                   _string
import time:       339 |        359 |                 string
import time:       313 |        671 |               email.quoprimime
import time:       436 |        436 |                     _struct
import time:       206 |        641 |                   struct
import time:       313 |        954 |                 base64
import time:       217 |       1171 |               email.base64mime
import time:       189 |        189 |                 email.encoders
import time:       336 |        524 |               email.charset
import time:       559 |       2924 |             email.header
import time:       393 |       3317 |           email._policybase
import time:       384 |        384 |           email._encoded_words
import time:       184 |        184 |           email.iterators
import time:       630 |      11296 |         email.message
import time:       765 |        765 |               _ast
import time:       403 |       1168 |             ast
import time:       722 |       1889 |           annotationlib
import time:        23 |         23 |               _opcode
import time:       278 |        278 |               _opcode_metadata
import time:       400 |        699 |             opcode
import time:       803 |       1502 |           dis
import time:       329 |        329 |             importlib
import time:        51 |        380 |           importlib.machinery
import time:       243 |        243 |             token
import time:        19 |         19 |             _tokenize
import time:       672 |        933 |           tokenize
import time:       274 |        274 |             _weakrefset
import time:       603 |        876 |           weakref
import time:      1439 |       7016 |         inspect
import time:       562 |        562 |               _json
import time:       258 |        819 |             json.scanner
import time:       464 |       1283 |           json.decoder
import time:       497 |        497 |           json.encoder
import time:       343 |       2122 |         json
import time:       204 |        204 |             anyio._core
import time:       431 |        634 |           anyio._core._contextmanagers
import time:       576 |        576 |             threading
import time:       303 |        303 |             contextvars
import time:       591 |        591 |               textwrap
import time:       332 |        923 |             anyio._core._exceptions
import time:       254 |        254 |               sniffio._version
import time:      1812 |       1812 |               sniffio._impl
import time:       296 |       2360 |             sniffio
import time:       286 |       4446 |           anyio._core._eventloop
import time:        50 |         50 |                 _winapi
import time:        46 |         46 |                 nt
import time:        44 |         44 |                 nt
import time:        40 |         40 |                 nt
import time:        38 |         38 |                 nt
