import time: self [us] | cumulative | imported package
import time:       137 |        137 |   _io
import time:        21 |         21 |   marshal
import time:       143 |        143 |   posix
import time:       403 |        703 | _frozen_importlib_external
import time:       439 |        439 |   time
import time:       142 |        580 | zipimport
import time:        26 |         26 |     _codecs
import time:       349 |        374 |   codecs
import time:       948 |        948 |   encodings.aliases
import time:       850 |       2171 | encodings
import time:       302 |        302 | encodings.utf_8
import time:        50 |         50 | _signal
import time:        21 |         21 |       _abc
import time:       112 |        133 |     abc
import time:        27 |         27 |       _stat
import time:        81 |        107 |     stat
import time:       560 |        560 |     _collections_abc
import time:        29 |         29 |       errno
import time:        53 |         53 |       genericpath
import time:       177 |        258 |     posixpath
import time:       391 |       1447 |   os
import time:        52 |         52 |   _sitebuiltins
import time:       358 |        358 |   encodings.utf_8_sig
import time:       824 |        824 |   _distutils_hack
import time:        21 |         21 |           _types
import time:      1025 |       1046 |         types
import time:      1005 |       2050 |       enum
import time:        40 |         40 |         _sre
import time:       618 |        618 |           re._constants
import time:       547 |       1164 |         re._parser
import time:       386 |        386 |         re._casefix
import time:       528 |       2117 |       re._compiler
import time:        61 |         61 |           itertools
import time:       266 |        266 |           keyword
import time:        39 |         39 |             _operator
import time:       563 |        602 |           operator
import time:       272 |        272 |           reprlib
import time:        33 |         33 |           _collections
import time:       862 |       2093 |         collections
import time:        52 |         52 |         _functools
import time:      1084 |       3228 |       functools
import time:       288 |        288 |       copyreg
import time:       526 |       8207 |     re
import time:       761 |       8967 |   sitecustomize
import time:      1115 |      12760 | site
import time:       698 |        698 | linecache
import time:       287 |        287 |     src
import time:       521 |        808 |   src.app
import time:       239 |        239 |     starlette
import time:       395 |        395 |       __future__
import time:        25 |         25 |           _contextvars
import time:       450 |        475 |         _py_warnings
import time:       267 |        742 |       warnings
import time:       326 |       1461 |     starlette.status
import time:        29 |         29 |         _typing
import time:      1898 |       1926 |       typing
import time:       752 |        752 |         annotated_doc.main
import time:      1148 |       1899 |       annotated_doc
import time:       807 |        807 |         contextlib
import time:       470 |        470 |           email
import time:       658 |        658 |           binascii
import time:       315 |        315 |           quopri
import time:       702 |        702 |           io
import time:        29 |         29 |               _datetime
import time:       247 |        275 |             datetime
import time:       230 |        230 |               urllib
import time:       833 |        833 |               math
import time:      1082 |       1082 |               ipaddress
import time:      1212 |       3356 |             urllib.parse
import time:       364 |        364 |             email._parseaddr
import time:       489 |       4482 |           email.utils
import time:       924 |        924 |           email.errors
import time:        18 |         18 |                   _string
import time:       416 |        434 |                 string
import time:       305 |        738 |               email.quoprimime
import time:       514 |        514 |                     _struct
import time:       204 |        717 |                   struct
import time:       309 |       1025 |                 base64
import time:       216 |       1241 |               email.base64mime
import time:       191 |        191 |                 email.encoders
import time:       450 |        640 |               email.charset
import time:       580 |       3197 |             email.header
import time:       391 |       3588 |           email._policybase
import time:       361 |        361 |           email._encoded_words
import time:       261 |        261 |           email.iterators
import time:      2522 |      14277 |         email.message
import time:       785 |        785 |               _ast
import time:       435 |       1220 |             ast
import time:       823 |       2042 |           annotationlib
import time:        22 |         22 |               _opcode
import time:       272 |        272 |               _opcode_metadata
import time:       391 |        684 |             opcode
import time:       798 |       1482 |           dis
import time:       285 |        285 |             importlib
import time:        50 |        334 |           importlib.machinery
import time:       237 |        237 |             token
import time:        20 |         20 |             _tokenize
import time:       790 |       1045 |           tokenize
import time:       269 |        269 |             _weakrefset
import time:       647 |        915 |           weakref
import time:      1921 |       7737 |         inspect
import time:       584 |        584 |               _json
import time:       333 |        917 |             json.scanner
import time:       544 |       1460 |           json.decoder
import time:       409 |        409 |           json.encoder
import time:       334 |       2201 |         json
import time:       364 |        364 |             anyio._core
import time:       489 |        853 |           anyio._core._contextmanagers
import time:       546 |        546 |             threading
import time:       475 |        475 |             contextvars
import time:       578 |        578 |               textwrap
import time:       330 |        907 |             anyio._core._exceptions
import time:       207 |        207 |               sniffio._version
import time:       192 |        192 |               sniffio._impl
import time:       383 |        781 |             sniffio
import time:       261 |       2968 |           anyio._core._eventloop
import time:        59 |         59 |                 _winapi
import time:        45 |         45 |                 nt
import time:        41 |         41 |                 nt
import time:        40 |         40 |                 nt
import time:        38 |         38 |                 nt
import time:        38 |         38 |                 nt
import time:        38 |         38 |                 nt
import time:        39 |         39 |                 nt
import time:       168 |        502 |               ntpath
import time:       287 |        287 |                 fnmatch
import time:       464 |        750 |               glob
import time:        27 |         27 |               pwd
import time:       373 |        373 |               grp
import time:       511 |        511 |                 fcntl
import time:        45 |         45 |                 _winapi
import time:       568 |       1123 |               pathlib._os
import time:       620 |       3393 |             pathlib
import time:       266 |        266 |               copy
import time:       610 |        875 |             dataclasses
import time:       523 |        523 |                   signal
import time:       702 |        702 |                     _socket
import time:       880 |       1582 |                   socket
import time:       578 |       2681 |                 anyio.abc._eventloop
import time:       233 |        233 |                 anyio.abc._resources
import time:       222 |        222 |                   anyio._core._typedattr
import time:       391 |        391 |                     anyio.abc._tasks
import time:       605 |        995 |                   anyio.abc._streams
import time:       590 |       1807 |                 anyio.abc._sockets
import time:       360 |        360 |                 anyio.abc._subprocesses
import time:       247 |        247 |                 anyio.abc._testing
import time:      1029 |       1029 |                   anyio.lowlevel
import time:       352 |        352 |                   anyio._core._tasks
import time:       214 |        214 |                   anyio._core._testing
import time:      1901 |       3495 |                 anyio._core._synchronization
import time:       375 |        375 |                     concurrent
import time:       289 |        289 |                           codeop
import time:      3143 |       3143 |                           _colorize
import time:       662 |       4092 |                         traceback
import time:        36 |         36 |                         atexit
import time:      1261 |       5389 |                       logging
import time:       640 |       6029 |                     concurrent.futures._base
import time:       728 |        728 |                     _interpreters
import time:       423 |       7554 |                   concurrent.futures
import time:       761 |       8314 |                 anyio.from_thread
import time:       432 |      17565 |               anyio.abc
import time:       235 |      17800 |             anyio.to_thread
import time:       796 |      22863 |           anyio._core._fileio
import time:       261 |        261 |           anyio._core._resources
import time:       197 |        197 |           anyio._core._signals
import time:      3903 |       3903 |               _ssl
import time:      1897 |       5800 |             ssl
import time:       314 |        314 |               anyio.streams
import time:       855 |       1169 |             anyio.streams.stapled
import time:       774 |        774 |             anyio.streams.tls
import time:       777 |       8519 |           anyio._core._sockets
import time:      1219 |       1219 |             anyio.streams.memory
import time:       334 |       1553 |           anyio._core._streams
import time:        51 |         51 |                 _locale
import time:       720 |        771 |               locale
import time:        59 |         59 |               msvcrt
import time:       850 |        850 |               _posixsubprocess
import time:       879 |        879 |               select
import time:       629 |        629 |               selectors
import time:       719 |       3906 |             subprocess
import time:       377 |       4283 |           anyio._core._subprocesses
import time:       768 |        768 |                 zlib
import time:       219 |        219 |                     compression
import time:       391 |        609 |                   compression._common
import time:       529 |        529 |                   compression._common._streams
import time:       525 |        525 |                   _bz2
